,rating,date,title,content,helpful count
95,5,21.12.28,국밥 선택: 돼지국밥,"이번 여름 부산여행에서 맑은국물 돼지국밥을 먹어보고 반해 버린 아이들 성화에 못이겨 여기저기 기웃대다 후기가 좋은 형제국밥 밀키트 도전! 온 가족 쌍엄지를 받고 추가 주문하러 온 김에 후기 남기네요 ^^ 대략 냄새로 육류 국적(?)을 맞출 수 있을 정도로 소싯적 후각이 예민해서 편식 끝판왕이었던 저와 혀에 바코드가 달렸다는 평을 듣는 ㅡㅡ 제 딸들, 그리고 그런 두 세대를 낳고 키우느라 산전수전 공중전 경험하신 친정 어머니까지 모두 만족했네요. 전체적으로 싱겁게 먹는 편인 지라 물을 좀 넉넉하게 잡았습니다만.. 잡내 없이 고기 양도 많고 맑으면서도 깊은 맛이 나는 국물이 인상적이었어요. (사진은 늦게 퇴근한 아빠꺼 끓여둔 걸 또 퍼 간 막내 덕에 양이 적어 보여요 ^^;;) 맵찔이라 마라탕은 도전해본 적조차 없는데 형국꺼 한 번 먹어보자 싶어 주문해 봅니다 ^^</span></div><span class=""_2QRtghbCyu"">더보기",0
96,5,22.02.16,국밥 선택: 돼지국밥,,0
97,5,22.02.16,국밥 선택: 시그니처 불꽃국밥,,0
98,5,22.01.21,국밥 선택: 돼지국밥,,0
99,5,22.01.21,국밥 선택: 시그니처 불꽃국밥,,0
100,5,22.01.21,국밥 선택: 돼지국밥,,0
101,5,22.01.21,국밥 선택: 시그니처 불꽃국밥,,0
102,5,22.01.21,국밥 선택: 돼지국밥,,0
103,5,22.01.21,국밥 선택: 돼지국밥,,0
104,5,22.03.03,국밥 선택: 시그니처 불꽃국밥,,0
105,5,22.01.11,국밥 선택: 시그니처 불꽃국밥,,0
106,5,22.02.14,국밥 선택: 시그니처 불꽃국밥,,0
107,5,22.03.02,국밥 선택: 시그니처 불꽃국밥,,0
108,5,22.01.21,국밥 선택: 마라국밥,,0
109,5,21.12.23,국밥 선택: 돼지국밥,"남편이 한입 먹고 박수친 형제국밥!ㅋㅋㅋ 냄새도 안 나고 깔끔하대요. 저도 소싯적 상경 전 돼지국밥 마스터로서 인정입니다👍 20대까지는 뼈를 우려낸 뽀얀 국물 스타일을 많이 먹었고 그게 국룰이라 생각했지만, 30대를 넘어선 지금은 고기 위주로 우려낸 맑은 국물 스타일도 깔끔하니 돼지국밥 초보인 남편과 함께 먹기 좋네요. 혹시 몰라 3팩 시켰는데 다음번에는 많이 구매해 쟁여두어야겠습니다. 잘 먹었습니다👍👍👍  다만 지퍼쪽과 결합된 포장지 부분이 조금 찢어져서 왔어요. 겨울이라 꽁꽁 얼어 괜찮았지만 여름을 대비해 보완하셔야할듯 합니다.  부산에 가고 싶은 마음이 들때쯤에 또 주문하려고요. 어려운 시국이지만 번창하시길..</span></div><span class=""_2QRtghbCyu"">더보기",0
110,5,22.01.12,국밥 선택: 시그니처 불꽃국밥,,0
111,5,22.03.09,국밥 선택: 시그니처 불꽃국밥,,0
112,4,22.02.10,국밥 선택: 시그니처 불꽃국밥,,0
113,5,22.02.04,국밥 선택: 시그니처 불꽃국밥,,0
114,3,22.02.10,국밥 선택: 돼지국밥,,0
115,5,22.02.28,국밥 선택: 돼지국밥,,0
116,5,22.02.28,국밥 선택: 시그니처 불꽃국밥,,0
